title,release_date,rating,imdb_id,tmbd_id,runtime,genres,budget,revenue
Pirates of the Caribbean: On Stranger Tides,2011-05-14,PG-13,tt1298650,1865,136.0,"[['Adventure', 'Action', 'Fantasy']]",380000000,1045713802
Despicable Me 3,2017-06-15,PG,tt3469046,324852,96.0,"[['Action', 'Animation', 'Comedy', 'Family', 'Adventure']]",80000000,1031552585
Finding Dory,2016-06-16,PG,tt2277860,127380,97.0,"[['Adventure', 'Animation', 'Comedy', 'Family']]",200000000,1028570889
Alice in Wonderland,2010-03-03,PG,tt1014759,12155,108.0,"[['Family', 'Fantasy', 'Adventure']]",200000000,1025467110
Zootopia,2016-02-11,PG,tt2948356,269149,109.0,"[['Animation', 'Adventure', 'Family', 'Comedy']]",150000000,1023784195
The Hobbit: An Unexpected Journey,2012-11-26,PG-13,tt0903624,49051,169.0,"[['Adventure', 'Fantasy', 'Action']]",250000000,1021103568
Despicable Me 2,2013-06-25,PG,tt1690953,93456,98.0,"[['Animation', 'Comedy', 'Family']]",76000000,970761885
The Jungle Book,2016-04-07,PG,tt3040964,278927,106.0,"[['Adventure', 'Drama', 'Family', 'Fantasy']]",175000000,966550600
Jumanji: Welcome to the Jungle,2017-12-09,PG-13,tt2283362,353486,119.0,"[['Action', 'Adventure', 'Comedy', 'Fantasy']]",90000000,962102237
The Hobbit: The Desolation of Smaug,2013-12-11,PG-13,tt1170358,57158,161.0,"[['Adventure', 'Fantasy', 'Action']]",250000000,958400000
The Hobbit: The Battle of the Five Armies,2014-12-10,PG-13,tt2310332,122917,144.0,"[['Action', 'Adventure', 'Fantasy']]",250000000,956019788
Harry Potter and the Deathly Hallows: Part 1,2010-10-17,PG-13,tt0926084,12444,146.0,"[['Adventure', 'Fantasy']]",250000000,954305868
Bohemian Rhapsody,2018-10-24,PG-13,tt1727824,424694,135.0,"[['Drama', 'Music']]",52000000,894027543
Spectre,2015-10-26,PG-13,tt2379713,206647,148.0,"[['Action', 'Adventure', 'Thriller']]",245000000,880674609
Spider-Man: Homecoming,2017-07-05,PG-13,tt2250912,315635,133.0,"[['Action', 'Adventure', 'Science Fiction', 'Drama']]",175000000,880166924
Ice Age: Continental Drift,2012-06-26,PG,tt1667889,57800,88.0,"[['Animation', 'Comedy', 'Adventure', 'Family']]",95000000,877244782
The Secret Life of Pets,2016-06-18,PG,tt2709768,328111,87.0,"[['Adventure', 'Comedy', 'Animation', 'Family']]",75000000,875457937
Batman v Superman: Dawn of Justice,2016-03-23,PG-13,tt2975590,209112,151.0,"[['Action', 'Adventure', 'Fantasy']]",250000000,873634919
Guardians of the Galaxy Vol. 2,2017-04-19,PG-13,tt3896198,283995,137.0,"[['Action', 'Adventure', 'Comedy', 'Science Fiction']]",200000000,863756051
Inside Out,2015-06-09,PG,tt2096673,150540,95.0,"[['Drama', 'Comedy', 'Animation', 'Family']]",175000000,857611174
Venom,2018-09-28,PG-13,tt1270797,335983,112.0,"[['Science Fiction', 'Action']]",116000000,855013954
Thor: Ragnarok,2017-10-25,PG-13,tt3501632,284053,131.0,"[['Action', 'Adventure', 'Comedy', 'Fantasy']]",180000000,853977126
The Hunger Games: Catching Fire,2013-11-15,PG-13,tt1951264,101299,146.0,"[['Adventure', 'Action', 'Science Fiction']]",130000000,847423452
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,PG-13,tt1673434,50620,115.0,"[['Adventure', 'Fantasy', 'Drama', 'Romance']]",120000000,829000000
Inception,2010-07-15,PG-13,tt1375666,27205,148.0,"[['Action', 'Science Fiction', 'Adventure']]",160000000,825532764
Wonder Woman,2017-05-30,PG-13,tt0451279,297762,141.0,"[['Action', 'Adventure', 'Fantasy']]",149000000,821847012
