title,release_date,rating,imdb_id,tmbd_id,runtime,genres,budget,revenue
The Perfect Game,2010-04-01,PG,tt0473102,56601,118.0,"[['Drama', 'Family']]",12500000,3878993
Where to Invade Next,2015-12-23,R,tt4897822,352208,121.0,[['Documentary']],0,3820195
Batman: The Killing Joke,2016-07-24,R,tt4853102,382322,72.0,"[['Action', 'Animation', 'Crime', 'Drama']]",3500000,3775000
The Lady,2011-11-30,R,tt1802197,77878,135.0,[['Drama']],0,3759582
Escobar: Paradise Lost,2014-10-11,PG-13,tt2515030,255343,120.0,"[['Thriller', 'Romance']]",17000000,3758328
By the Sea,2015-11-12,R,tt3707106,314385,122.0,"[['Drama', 'Romance']]",10000000,3727746
Free Fire,2017-03-31,R,tt4158096,334521,90.0,"[['Action', 'Crime', 'Mystery']]",7000000,3719383
The Double,2011-10-27,PG-13,tt1646980,73499,98.0,"[['Action', 'Drama', 'Crime']]",17000000,3696232
Killer Joe,2011-09-10,R,tt1726669,73567,102.0,"[['Crime', 'Drama', 'Thriller']]",10000000,3665069
Last Knights,2015-04-03,R,tt2493486,308504,115.0,"[['Action', 'Adventure']]",0,3643591
Empire State,2013-09-03,R,tt2171867,169209,94.0,"[['Action', 'Drama']]",11000000,3639345
Colonia,2016-02-12,R,tt4005402,318781,106.0,"[['Drama', 'Romance', 'Thriller', 'History']]",14000000,3621046
Calvary,2014-04-11,R,tt2234003,157832,102.0,[['Drama']],0,3593460
The To Do List,2013-07-24,R,tt1758795,129139,104.0,"[['Comedy', 'Romance']]",1500000,3566225
Like Crazy,2011-10-28,PG-13,tt1758692,60420,90.0,"[['Drama', 'Romance']]",250000,3542353
Martha Marcy May Marlene,2011-10-21,R,tt1441326,50837,101.0,"[['Drama', 'Thriller']]",0,3538446
Thanks for Sharing,2013-09-19,R,tt1932718,112200,112.0,"[['Comedy', 'Drama']]",0,3499442
Veronica Mars,2014-03-13,PG-13,tt2771372,177494,107.0,"[['Comedy', 'Drama', 'Crime']]",6000000,3485127
Batman: Gotham by Gaslight,2018-01-12,R,tt7167630,471474,78.0,"[['Thriller', 'Action', 'Animation', 'Science Fiction']]",1000000,3469151
Wild Target,2010-06-17,PG-13,tt1235189,44147,98.0,"[['Action', 'Comedy']]",8000000,3453043
Learning to Drive,2014-08-21,R,tt3062976,284286,105.0,"[['Comedy', 'Drama', 'Romance']]",0,3447633
The Homesman,2014-05-18,R,tt2398231,264656,122.0,"[['Western', 'Drama']]",16000000,3442853
Bad Samaritan,2018-04-19,R,tt3203528,467632,111.0,"[['Thriller', 'Crime', 'Horror']]",0,3435047
The Grand Seduction,2013-09-08,PG-13,tt2319580,209185,112.0,[['Comedy']],12700000,3430018
Disconnect,2012-09-11,R,tt1433811,127517,115.0,"[['Drama', 'Thriller']]",10000000,3428048
Tulip Fever,2017-07-13,R,tt0491203,257785,107.0,"[['Drama', 'Romance']]",25000000,3425664
Everybody Wants Some!!,2016-03-30,R,tt2937696,295699,116.0,[['Comedy']],10000000,3400278
Enemy,2013-12-31,R,tt2316411,181886,91.0,"[['Thriller', 'Mystery']]",0,3396726
Demonic,2015-02-12,R,tt1841642,234212,83.0,"[['Thriller', 'Horror']]",3000000,3387000
The Neon Demon,2016-06-08,R,tt1974419,301365,118.0,"[['Thriller', 'Horror', 'Mystery']]",7000000,3377430
Emperor,2012-09-14,PG-13,tt2103264,127372,105.0,"[['Drama', 'History', 'War']]",0,3346265
Words and Pictures,2013-09-06,PG-13,tt2380331,214075,111.0,"[['Comedy', 'Drama', 'Romance']]",0,3346257
On Chesil Beach,2018-01-19,R,tt1667321,391714,110.0,"[['Drama', 'Romance']]",0,3335913
Robot & Frank,2012-08-16,PG-13,tt1990314,84329,85.0,"[['Science Fiction', 'Comedy', 'Drama', 'Crime']]",2500000,3325038
Child 44,2015-03-15,R,tt1014763,181283,137.0,"[['Crime', 'Thriller']]",50000000,3324330
13,2010-03-12,R,tt0798817,44982,97.0,"[['Drama', 'Thriller']]",0,3317662
Before I Wake,2016-04-07,PG-13,tt3174376,301804,97.0,"[['Drama', 'Fantasy', 'Horror', 'Thriller']]",0,3295624
The Program,2015-09-16,PG-13,tt3083008,271736,103.0,[['Drama']],0,3286448
Good Time,2017-08-11,R,tt4846232,429200,102.0,"[['Crime', 'Drama', 'Thriller']]",0,3283369
Frog Kingdom,2013-12-28,PG,tt4162910,346965,86.0,"[['Animation', 'Adventure', 'Comedy']]",0,3280172
Green Room,2015-05-17,R,tt4062536,313922,95.0,"[['Horror', 'Crime', 'Thriller']]",5000000,3220371
Sleeping with Other People,2015-06-26,R,tt3165612,288036,100.0,[['Comedy']],0,3214116
'71,2014-10-10,R,tt2614684,252178,99.0,"[['Thriller', 'Action', 'Drama', 'War']]",11000000,3200000
Your Sister's Sister,2011-09-11,R,tt1742336,84355,90.0,"[['Drama', 'Comedy']]",125000,3200000
The Eagle Huntress,2016-11-02,G,tt3882074,376530,87.0,"[['Family', 'Documentary', 'Adventure']]",0,3162153
Flypaper,2011-08-19,R,tt1541160,62046,87.0,"[['Mystery', 'Comedy', 'Crime']]",5000000,3142154
Obvious Child,2014-06-06,R,tt2910274,248774,83.0,"[['Comedy', 'Romance']]",0,3123963
Thor: Tales of Asgard,2011-05-16,PG,tt1667903,63686,77.0,"[['Adventure', 'Animation', 'Action']]",0,3100000
Take Shelter,2011-09-30,R,tt1675192,64720,120.0,"[['Thriller', 'Drama', 'Horror']]",5000000,3099314
Wildlife,2018-09-23,PG-13,tt5929754,417812,105.0,[['Drama']],0,3097257
Celeste & Jesse Forever,2012-08-03,R,tt1405365,84184,91.0,"[['Comedy', 'Drama', 'Romance']]",0,3094813
Frozen,2010-02-05,R,tt1323045,44363,93.0,[['Thriller']],0,3065860
Catfish,2010-09-17,PG-13,tt1584016,42296,87.0,[['Documentary']],30000,3045943
Colossal,2016-09-09,R,tt4680182,339967,109.0,"[['Drama', 'Fantasy', 'Science Fiction']]",0,3029287
Rock the Kasbah,2015-10-22,R,tt3164256,253414,100.0,"[['Comedy', 'Music', 'War']]",15000000,3020664
Intruders,2011-09-12,R,tt1634121,63207,100.0,"[['Thriller', 'Horror', 'Fantasy']]",13000000,3012210
Citizenfour,2014-10-24,R,tt4044364,293310,114.0,[['Documentary']],0,3003169
The End of the Tour,2015-07-31,R,tt3416744,249688,106.0,[['Drama']],0,3002884
Man Up,2015-05-29,R,tt3064298,332340,88.0,"[['Romance', 'Comedy']]",0,3000000
The Runaways,2010-03-19,R,tt1017451,27586,106.0,"[['Drama', 'Music']]",10000000,2995811
The Last Black Man in San Francisco,2019-06-07,R,tt4353250,522039,120.0,[['Drama']],0,2975184
In a World...,2013-08-09,R,tt2294677,157360,93.0,[['Comedy']],1000000,2963902
Superman: Unbound,2013-04-23,PG-13,tt2617456,166076,75.0,"[['Animation', 'Action', 'Adventure']]",0,2915767
Pandas,2018-04-06,G,tt7860270,497802,40.0,[['Documentary']],0,2892597
Home Run,2013-04-19,PG-13,tt2051894,176124,114.0,[['Drama']],1200000,2861020
American Animals,2018-06-01,R,tt6212478,489931,117.0,"[['Drama', 'Crime', 'Documentary']]",3000000,2847319
Thoroughbreds,2017-01-21,R,tt5649108,397722,92.0,"[['Drama', 'Thriller']]",0,2830775
Captive,2015-09-17,PG-13,tt3268668,331190,97.0,"[['Crime', 'Drama', 'Thriller']]",2000000,2801508
Saving Christmas,2014-11-14,PG,tt4009460,295884,79.0,"[['Comedy', 'Family']]",500000,2800000
Fading Gigolo,2013-09-07,R,tt2258345,214030,90.0,[['Comedy']],0,2681345
The Lodge,2019-01-25,R,tt7347846,474764,108.0,"[['Drama', 'Horror', 'Thriller']]",0,2679585
The Signal,2014-03-15,PG-13,tt2910814,242095,97.0,"[['Thriller', 'Science Fiction']]",4000000,2665322
Kidnapping Mr. Heineken,2015-03-12,R,tt2917388,228968,95.0,"[['Drama', 'Action', 'Crime', 'Thriller', 'Mystery']]",0,2633527
Everything Must Go,2011-05-13,R,tt1531663,45658,97.0,"[['Comedy', 'Drama', 'Romance']]",5000000,2614773
Jimmy's Hall,2014-05-30,PG-13,tt3110960,262958,106.0,"[['History', 'Drama']]",0,2606000
N-Secure,2010-10-15,R,tt1289419,66468,105.0,"[['Drama', 'Crime', 'Thriller']]",0,2592808
A Question of Faith,2017-09-29,PG,tt6054650,467433,104.0,[['Drama']],0,2587072
Twelve,2010-07-30,R,tt1407084,40720,93.0,"[['Thriller', 'Drama', 'Action', 'Crime']]",0,2566717
Jiro Dreams of Sushi,2011-06-11,PG,tt1772925,80767,82.0,[['Documentary']],0,2550508
Truth,2015-10-16,R,tt3859076,300693,121.0,[['Drama']],9600000,2541554
Machine Gun Preacher,2011-09-23,R,tt1586752,45610,129.0,"[['Action', 'Thriller', 'Crime']]",30000000,2527904
First Reformed,2018-05-18,R,tt6053438,458737,113.0,[['Drama']],3500000,2525738
A Dog's Journey,2019-05-03,PG,tt8385474,522518,120.0,[['Family']],0,2520000
Mistress America,2015-08-14,R,tt2872462,309245,84.0,[['Comedy']],0,2500431
From Prada to Nada,2011-01-28,PG-13,tt0893412,50217,107.0,"[['Comedy', 'Drama', 'Romance']]",93,2500000
The Dinner,2017-05-05,R,tt3203620,401546,120.0,"[['Drama', 'Thriller', 'Mystery']]",0,2492001
Lean on Pete,2018-04-06,R,tt5340300,407890,121.0,"[['Drama', 'Adventure']]",8000000,2455027
Blood Ties,2013-08-22,R,tt1747958,190955,128.0,"[['Thriller', 'Crime', 'Drama']]",25500000,2415472
The East,2013-05-31,PG-13,tt1869716,87499,116.0,"[['Drama', 'Thriller']]",6500000,2401510
Brad's Status,2017-09-14,R,tt5884230,425980,101.0,"[['Comedy', 'Drama']]",0,2400000
Unfriend,2016-01-07,R,tt3352390,368031,92.0,"[['Horror', 'Thriller']]",9900000,2400000
Laggies,2014-09-25,R,tt2034031,244264,100.0,"[['Comedy', 'Romance', 'Drama']]",5000000,2379154
Middle of Nowhere,2012-01-20,R,tt1211890,83588,101.0,[['Drama']],2000000,2368060
The Guest,2014-09-17,R,tt2980592,241848,100.0,"[['Mystery', 'Thriller', 'Action']]",5000000,2367161
Joe,2014-04-11,R,tt2382396,157847,118.0,[['Drama']],4000000,2365467
Cake,2014-09-07,R,tt3442006,284276,102.0,[['Drama']],7000000,2360281
Ballerina,2016-12-14,PG,tt2261287,342473,89.0,"[['Animation', 'Adventure', 'Comedy', 'Family']]",30000000,2351359
Jem and the Holograms,2015-10-22,PG,tt3614530,266639,119.0,"[['Drama', 'Fantasy', 'Music']]",5000000,2333684
The Silence,2019-05-16,PG-13,tt7315484,527261,91.0,"[['Drama', 'Thriller', 'Fantasy', 'Horror']]",0,2325977
Marriage Story,2019-11-06,R,tt7653254,492188,137.0,[['Drama']],19000000,2300000
The Grace Card,2011-02-25,PG-13,tt1544600,54897,101.0,[['Drama']],200000,2295733
The Rover,2014-05-18,R,tt2345737,157845,103.0,"[['Crime', 'Drama']]",12250000,2295423
The Killing of a Sacred Deer,2017-10-20,R,tt5715874,399057,121.0,"[['Drama', 'Thriller', 'Mystery']]",0,2291901
Luce,2019-08-02,R,tt7616148,492616,109.0,"[['Drama', 'Thriller']]",0,2268204
Love Is Strange,2014-02-07,R,tt2639344,244268,98.0,[['Drama']],0,2262223
Le Week-End,2013-10-04,R,tt2392326,209350,93.0,"[['Comedy', 'Drama']]",0,2225098
Austenland,2013-08-15,PG-13,tt1985019,156711,97.0,"[['Comedy', 'Romance']]",4900000,2159041
Paterson,2016-11-17,R,tt5247022,370755,118.0,"[['Comedy', 'Drama', 'Romance']]",5000000,2152738
High Life,2018-11-07,R,tt4827558,376865,113.0,"[['Science Fiction', 'Drama', 'Mystery', 'Thriller']]",8933400,2133033
Mountain,2018-02-22,PG,tt6203570,462145,73.0,[['Documentary']],0,2129889
Setup,2011-10-17,R,tt1748197,70586,85.0,"[['Action', 'Crime', 'Drama', 'Thriller']]",20000000,2128186
Hearts Beat Loud,2018-06-08,PG-13,tt7158430,470333,97.0,"[['Drama', 'Music', 'Comedy', 'Family']]",2000000,2115765
Stolen,2012-09-06,R,tt1656186,127493,96.0,"[['Action', 'Crime', 'Thriller']]",35000000,2106557
Equals,2015-07-15,PG-13,tt3289728,301875,101.0,"[['Drama', 'Romance', 'Science Fiction']]",16000000,2084628
Danger Close: The Battle of Long Tan,2019-08-08,R,tt0441881,508664,119.0,"[['War', 'Action', 'Drama', 'History']]",23934823,2078370
"Don't Worry, He Won't Get Far on Foot",2018-04-04,R,tt6288124,443009,113.0,"[['Comedy', 'Drama']]",0,2066633
Blackfish,2013-06-07,PG-13,tt2545118,158999,83.0,[['Documentary']],0,2063312
Man of Tai Chi,2013-07-04,R,tt2016940,76544,105.0,"[['Action', 'Drama']]",25000000,2054941
Under the Silver Lake,2018-06-21,R,tt5691670,396461,139.0,"[['Drama', 'Mystery']]",8500000,2053469
Crooked House,2017-10-31,PG-13,tt1869347,419835,115.0,"[['Drama', 'Mystery', 'Crime', 'TV Movie']]",0,2049844
Siberia,2018-07-13,R,tt6494418,438689,105.0,"[['Crime', 'Romance', 'Thriller']]",2000000,2006704
RBG,2018-05-04,PG,tt7689964,493099,97.0,[['Documentary']],0,2002767
Blues for Life,2016-12-02,PG-13,tt3523996,725083,111.0,"[['Action', 'Drama']]",750000,2000000
I'm Not Ashamed,2016-10-21,PG-13,tt4950110,409502,112.0,[['Drama']],1500000,2000000
Remember,2015-10-23,R,tt3704050,302528,94.0,"[['Drama', 'Thriller', 'Mystery']]",0,1986615
The Iceman,2012-09-01,R,tt1491044,68812,105.0,"[['Thriller', 'Crime', 'Drama']]",20000000,1969193
Wonderstruck,2017-10-13,PG,tt5208216,383709,115.0,[['Drama']],0,1947099
Trolls World Tour,2020-03-12,PG,tt6587640,446893,91.0,"[['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure', 'Music']]",0,1946164
The Oranges,2011-09-09,R,tt1313139,89008,90.0,"[['Comedy', 'Romance', 'Drama']]",7000000,1941667
Abigail,2019-08-22,PG,tt7025388,575094,110.0,"[['Adventure', 'Fantasy']]",7000000,1940234
Old Fashioned,2014-10-18,PG-13,tt2048824,297462,115.0,"[['Romance', 'Drama']]",600000,1914090
Monster Island,2017-07-21,PG,tt6269658,420279,80.0,"[['Animation', 'Adventure', 'Family', 'Comedy']]",0,1913973
Frank,2014-05-02,R,tt1605717,171372,95.0,"[['Comedy', 'Drama', 'Mystery']]",1000000,1897363
Clouds of Sils Maria,2014-08-20,R,tt2452254,246860,124.0,[['Drama']],6600000,1851517
Crooked Arrows,2012-05-18,PG-13,tt1954352,106135,95.0,[['Drama']],13000000,1832541
Tusk,2014-09-19,R,tt3099498,246403,102.0,"[['Comedy', 'Horror', 'Drama', 'Thriller']]",2800000,1826705
The Little Stranger,2018-08-30,R,tt6859762,455108,111.0,"[['Mystery', 'Drama', 'Horror']]",0,1824902
Testament of Youth,2014-10-14,PG-13,tt1441953,284689,129.0,"[['History', 'Drama', 'War']]",0,1822250
American Honey,2016-09-30,R,tt3721936,340485,163.0,[['Drama']],0,1818075
The Wall,2017-05-12,R,tt4218696,405775,90.0,"[['Thriller', 'War', 'Drama']]",0,1803009
Exposed,2016-01-22,R,tt4019560,331962,102.0,"[['Drama', 'Crime', 'Thriller']]",0,1787926
The Ritual,2017-10-11,R,tt5638642,433808,94.0,"[['Horror', 'Thriller']]",10000000,1785977
The Vatican Tapes,2015-07-24,R,tt1524575,157544,91.0,"[['Thriller', 'Horror']]",13000000,1784763
The Last Word,2017-03-03,R,tt5023260,396810,108.0,"[['Comedy', 'Drama']]",0,1783421
Another Earth,2011-07-22,PG-13,tt1549572,55420,92.0,"[['Drama', 'Science Fiction']]",100000,1776935
After the Dark,2013-07-06,R,tt1928340,198287,107.0,"[['Drama', 'Fantasy', 'Science Fiction', 'Thriller']]",0,1770376
A Better Life,2011-06-24,PG-13,tt1554091,55720,98.0,[['Drama']],10000000,1759252
Flipped,2010-08-06,PG,tt0817177,43949,89.0,"[['Romance', 'Drama']]",14000000,1755212
Bilal: A New Breed of Hero,2015-12-09,PG-13,tt3576728,332718,105.0,"[['Action', 'Adventure', 'Animation']]",30000000,1750000
Chalet Girl,2011-02-02,R,tt1487118,58232,96.0,"[['Comedy', 'Romance']]",8000000,1749457
Third Person,2013-09-09,R,tt2343793,192145,137.0,"[['Drama', 'Romance']]",28000000,1749201
Final Portrait,2017-08-03,R,tt4494718,345317,87.0,"[['Drama', 'History']]",0,1725841
Song to Song,2017-03-17,R,tt2062700,330947,129.0,"[['Drama', 'Romance']]",10000000,1710528
Song for Marion,2012-09-15,PG-13,tt1047011,127370,93.0,"[['Music', 'Comedy', 'Romance', 'Drama']]",0,1697294
Nothing Left to Fear,2013-09-26,R,tt1662293,209901,100.0,[['Horror']],3000000,1675381
360,2012-07-25,R,tt1680045,89455,110.0,"[['Drama', 'Romance']]",0,1663931
2 Days in New York,2012-03-28,R,tt1602472,84165,91.0,"[['Comedy', 'Drama', 'Romance']]",8000000,1653792
I Saw the Light,2016-02-05,R,tt1490785,297806,123.0,"[['Drama', 'Music']]",13000000,1646788
Short Term 12,2013-08-23,R,tt2370248,169813,96.0,[['Drama']],0,1600000
A Ghost Story,2017-04-24,R,tt6265828,428449,93.0,"[['Drama', 'Fantasy', 'Romance']]",100000,1596371
Lovelace,2013-08-08,R,tt1426329,77805,92.0,[['Drama']],10000000,1585582
Professor Marston and the Wonder Women,2017-10-13,R,tt6133130,420622,108.0,"[['Drama', 'Romance']]",0,1584759
Make Your Move,2013-08-07,PG-13,tt1828959,212769,110.0,[['Music']],15000000,1583687
Lay the Favorite,2012-06-22,R,tt1132449,84305,94.0,"[['Drama', 'Comedy']]",26350000,1576687
Adore,2013-04-03,R,tt2103267,111190,100.0,[['Drama']],16000000,1575749
A Late Quartet,2012-11-02,R,tt1226240,121879,105.0,"[['Music', 'Drama']]",0,1562546
Persecuted,2014-05-09,PG-13,tt1761005,257521,93.0,"[['Action', 'Drama', 'Adventure', 'Thriller']]",0,1558836
"Bless Me, Ultima",2013-02-22,PG-13,tt1390398,164184,106.0,"[['Drama', 'War']]",0,1553826
The Square,2017-08-25,R,tt4995790,401246,151.0,[['Drama']],0,1502347
The Diary of a Teenage Girl,2015-08-07,R,tt3172532,250124,98.0,"[['Drama', 'Romance']]",2000000,1477002
Spooks: The Greater Good,2015-04-11,R,tt3321300,292040,104.0,"[['Thriller', 'Action']]",0,1473809
Restrepo,2010-06-25,R,tt1559549,39312,93.0,"[['Documentary', 'War']]",0,1437000
Infinitely Polar Bear,2014-01-18,R,tt1969062,244539,87.0,"[['Drama', 'Comedy']]",6700000,1430655
99 Homes,2014-10-09,R,tt2891174,283235,112.0,[['Drama']],8000000,1411927
The Art of Getting By,2011-06-17,PG-13,tt1645080,64678,83.0,"[['Drama', 'Romance']]",0,1406224
Bling,2016-05-06,PG,tt5161658,385722,81.0,"[['Family', 'Animation']]",15000000,1404291
Universal Soldier: Day of Reckoning,2012-10-04,R,tt1659343,122857,114.0,"[['Action', 'Science Fiction', 'Thriller']]",11500000,1402307
Jane Got a Gun,2015-12-31,R,tt2140037,174751,98.0,"[['Action', 'Drama', 'Western']]",25000000,1397284
My Friend Dahmer,2017-11-03,R,tt2291540,445040,107.0,"[['Drama', 'History']]",0,1361611
Gimme Shelter,2013-10-17,PG-13,tt1657510,232175,101.0,[['Drama']],7500000,1359910
The Paperboy,2012-09-14,R,tt1496422,82390,107.0,"[['Thriller', 'Drama', 'Mystery']]",12500000,1353868
Maps to the Stars,2014-05-21,R,tt2172584,157851,112.0,[['Drama']],15000000,1338365
Snow Flower and the Secret Fan,2011-07-15,PG-13,tt1541995,58882,104.0,"[['Drama', 'History']]",134005,1332231
Vox Lux,2018-12-07,R,tt5960374,429202,114.0,"[['Drama', 'Music']]",0,1330828
Chasing Ice,2012-10-01,PG-13,tt1579361,84185,74.0,[['Documentary']],0,1328467
Personal Shopper,2016-10-19,R,tt4714782,340676,106.0,"[['Drama', 'Mystery', 'Thriller']]",6000000,1305195
A Little Bit of Heaven,2011-02-03,PG-13,tt1440161,45156,106.0,"[['Comedy', 'Drama', 'Romance']]",0,1296937
What We Did on Our Holiday,2014-09-26,PG-13,tt2725962,276843,95.0,[['Comedy']],0,1289998
The Hollow Point,2016-12-16,R,tt2918606,262982,94.0,"[['Action', 'Drama', 'Thriller']]",0,1271880
Whitney,2018-07-06,R,tt5740866,507256,120.0,[['Documentary']],0,1251945
"For a Good Time, Call...",2012-08-31,R,tt1996264,84200,85.0,"[['Comedy', 'Drama']]",850000,1243961
Beyond the Mask,2015-04-06,PG,tt2433040,318954,103.0,"[['Action', 'Adventure', 'Drama']]",0,1236094
The Invisible Woman,2013-12-25,R,tt1700845,111473,111.0,"[['Drama', 'History', 'Romance']]",0,1234254
Certain Women,2016-09-25,R,tt4468634,340487,107.0,[['Drama']],2000000,1215691
Mindscape,2013-10-13,R,tt1715336,227700,99.0,"[['Thriller', 'Drama']]",4357373,1200000
Repentance,2014-02-28,R,tt2012665,80920,90.0,"[['Horror', 'Thriller']]",5000000,1189612
Kill the Irishman,2011-03-10,R,tt1416801,51209,106.0,"[['Action', 'Crime', 'Thriller', 'Drama']]",0,1188194
Howl,2010-08-26,R,tt1049402,38568,84.0,[['Drama']],5000000,1183258
Black Sea,2014-12-05,R,tt2261331,246080,115.0,"[['Adventure', 'Thriller', 'Drama']]",0,1171559
The Remaining,2014-08-25,PG-13,tt2714380,280002,88.0,"[['Thriller', 'Horror']]",0,1169603
The Lords of Salem,2012-09-10,R,tt1731697,104755,101.0,"[['Horror', 'Thriller']]",1500000,1165882
Romeo & Juliet,2013-09-12,PG-13,tt1645131,91745,118.0,"[['Drama', 'Romance']]",0,1162635
The Song of Names,2019-12-25,PG-13,tt1657517,617768,113.0,[['Drama']],0,1138700
Cell,2016-07-06,R,tt0775440,168098,98.0,"[['Horror', 'Science Fiction', 'Thriller']]",0,1133031
The Deep Blue Sea,2011-09-11,R,tt1700844,51994,98.0,"[['Drama', 'Romance']]",0,1126525
Hector and the Search for Happiness,2014-08-14,R,tt1626146,254375,114.0,"[['Adventure', 'Drama', 'Comedy']]",0,1124445
Look Away,2018-10-12,R,tt5834760,526051,103.0,"[['Horror', 'Thriller', 'Fantasy']]",0,1119537
Red State,2011-08-19,R,tt0873886,48572,88.0,"[['Horror', 'Action', 'Thriller']]",4000000,1104682
The Overnight,2015-06-19,R,tt3844362,308024,80.0,"[['Mystery', 'Comedy']]",0,1100000
Casino Jack,2010-09-16,R,tt1194417,45324,108.0,"[['Crime', 'Comedy', 'Drama']]",12500000,1083683
The Captive,2014-08-09,R,tt2326612,244761,112.0,"[['Drama', 'Thriller', 'Crime']]",0,1075178
Coriolanus,2011-02-14,R,tt1372686,101173,123.0,"[['Drama', 'Thriller']]",7700000,1072602
Vanishing on 7th Street,2010-09-11,R,tt1452628,43552,92.0,"[['Mystery', 'Horror', 'Thriller']]",10000000,1068682
What Maisie Knew,2013-05-02,R,tt1932767,127373,93.0,[['Drama']],6000000,1066471
50 to 1,2014-03-21,PG-13,tt1777595,197583,110.0,"[['Comedy', 'Drama']]",10000000,1064454
The Seagull,2018-05-11,PG-13,tt4682136,341735,98.0,"[['Drama', 'Romance', 'Comedy']]",0,1057421
Elvis & Nixon,2016-03-22,R,tt2093991,301348,87.0,"[['Drama', 'Comedy', 'History']]",0,1055287
The Sun Is Also a Star,2019-05-16,PG-13,tt6423362,508791,100.0,"[['Romance', 'Drama']]",0,1040000
The Souvenir,2019-05-17,R,tt6920356,473019,119.0,"[['Romance', 'Mystery', 'Drama']]",0,1036737
Phantom,2013-01-03,R,tt1922685,152259,99.0,[['Thriller']],10000000,1034589
Ain't Them Bodies Saints,2013-07-03,R,tt2388637,152748,96.0,"[['Crime', 'Drama', 'Romance', 'Western']]",4000000,1031243
Columbus,2017-08-04,PG-13,tt5990474,414453,104.0,[['Drama']],0,1015744
Jay and Silent Bob Reboot,2019-10-15,R,tt6521876,440762,95.0,[['Comedy']],0,1011305
The Song,2014-09-26,PG-13,tt2517044,271164,116.0,"[['Music', 'Romance', 'Drama']]",0,1009620
Ginger & Rosa,2012-09-07,PG-13,tt2115295,121872,89.0,[['Drama']],0,1005700
Hollow Point,2019-06-13,PG-13,tt8648640,611562,90.0,[['Action']],0,1000000
Redd Inc.,2012-11-03,R,tt1857842,133463,93.0,"[['Thriller', 'Horror', 'Comedy']]",500000,1000000
American Warships,2012-05-15,R,tt2175927,97632,90.0,"[['Action', 'Thriller', 'Science Fiction', 'War']]",0,1000000
Animal Kingdom,2010-06-03,R,tt1313092,44629,113.0,"[['Drama', 'Thriller', 'Crime', 'Mystery']]",5000000,1000000
Blue Ruin,2013-09-09,R,tt2359024,188166,91.0,"[['Crime', 'Thriller']]",420000,993313
Blackthorn,2011-08-31,R,tt1629705,68818,98.0,"[['Adventure', 'Action', 'Western']]",0,987883
Rampart,2011-11-23,R,tt1640548,75622,108.0,"[['Crime', 'Drama']]",12000000,972512
The Beaver,2011-02-11,PG-13,tt1321860,50780,91.0,[['Drama']],21000000,970816
TEKKEN,2010-03-20,R,tt0411951,42194,92.0,"[['Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']]",30000000,967000
Texas Killing Fields,2011-10-14,R,tt1389127,72477,105.0,"[['Drama', 'Thriller', 'Crime', 'Mystery']]",0,957240
Rebel in the Rye,2017-09-15,PG-13,tt4986134,390056,106.0,"[['Drama', 'Romance']]",0,944370
Tangerine,2015-07-10,R,tt3824458,308084,87.0,"[['Comedy', 'Drama']]",100000,924793
Palo Alto,2014-05-09,R,tt2479800,192132,100.0,[['Drama']],0,919591
The Legend of Sarila,2013-02-22,PG,tt2296935,233423,80.0,"[['Family', 'Animation', 'Adventure']]",0,901596
Meek's Cutoff,2010-09-05,PG,tt1518812,57120,104.0,"[['Drama', 'Western']]",0,876302
W.E.,2011-09-01,R,tt1536048,80591,119.0,"[['Drama', 'Romance']]",15000000,868439
Submarine,2011-03-18,R,tt1440292,49020,97.0,"[['Drama', 'Comedy', 'Romance']]",0,864659
Mother's Day,2010-09-23,R,tt1434435,101669,112.0,"[['Crime', 'Thriller']]",11000000,863044
Song of the Sea,2014-09-06,PG,tt1865505,110416,93.0,"[['Family', 'Animation', 'Fantasy']]",0,857522
The Nightingale,2018-09-23,R,tt4068576,400090,136.0,"[['Drama', 'Adventure', 'Thriller', 'Horror']]",0,855756
6 Souls,2010-03-27,R,tt1179069,41505,112.0,"[['Horror', 'Mystery', 'Thriller']]",22000000,851517
Mr. Nice,2010-10-07,R,tt1183911,46934,121.0,"[['Comedy', 'Crime', 'Drama']]",0,850994
Atlas Shrugged: Part III,2014-09-12,PG-13,tt2800038,199933,99.0,"[['Drama', 'Science Fiction', 'Mystery']]",5000000,846704
Higher Ground,2011-08-26,R,tt1562568,50875,109.0,"[['Drama', 'Thriller']]",2000000,841733
Thin Ice,2012-02-17,R,tt1512240,51996,93.0,"[['Crime', 'Drama', 'Comedy']]",0,790421
31,2016-09-15,R,tt3835080,284564,102.0,"[['Horror', 'Thriller', 'Mystery']]",1500000,779820
Princess Ka'iulani,2010-05-14,PG,tt1185344,39806,130.0,[['Drama']],9000000,771499
The D Train,2015-05-08,R,tt2690138,308638,101.0,"[['Drama', 'Comedy']]",447524,771317
The Zero Theorem,2013-09-20,R,tt2333804,157834,107.0,"[['Drama', 'Fantasy', 'Science Fiction']]",8500000,770706
Ooops! Noah is Gone...,2015-04-09,G,tt3411432,326215,85.0,"[['Animation', 'Adventure', 'Comedy', 'Family']]",6000000,769028
Blitz,2011-05-20,R,tt1297919,55846,97.0,"[['Crime', 'Action', 'Thriller']]",15774948,741875
The Queen of Versailles,2012-07-06,PG,tt2125666,84327,100.0,[['Documentary']],0,714544
